id,school,degree,time_start,time_end
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,University of Derby,"Bachelor of Arts (Hons), Marketing and HR Management",2001,2004
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,University of Derby,"Bachelor of Arts (Hons), Marketing and HR Management",2001,2004
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,University of Derby,"Master of Arts (MA), Marketing Management",2004,2005
02b639c2-2fb8-4f0a-b112-e7f76e89c3dd,University of Derby,"Master of Arts (MA), Marketing Management",2004,2005
02d6c178-5cf6-4306-b26d-7abb9337ca31,Dunbar Grammar School,,1970 – 1976,
02d6c178-5cf6-4306-b26d-7abb9337ca31,Dunbar Primary School,,1963 – 1970,
02d6c178-5cf6-4306-b26d-7abb9337ca31,Heriot-Watt University,"Mechanical Engineering, Engineering, Physics, Mechanics",1976,1977
02d6c178-5cf6-4306-b26d-7abb9337ca31,Napier University,"BSc Technology with Industrial Studies, Technology, Business Studies, Maths, Engineering, Psychology, Sociology, Accounting",1977,1981
02d6c178-5cf6-4306-b26d-7abb9337ca31,Scottish College of Textiles,"Post Graduate Diploma, Business Studies",1981,1982
02e3ffc0-1076-40e5-9c25-2a0fc1e1c26c,Howard University,"Bachelor of Business Administration (B.B.A.), Accounting",1990,1995
02e714f6-9606-46b8-8239-e521968652e1,Bridgton Academy,Post Graduate,,
02e714f6-9606-46b8-8239-e521968652e1,Bridgton Academy,Post Graduate,,
02e714f6-9606-46b8-8239-e521968652e1,Whittier College,Bachelor's of Arts,,
02e714f6-9606-46b8-8239-e521968652e1,Whittier College,Bachelor's of Arts,,
030e79fe-818a-4dd5-ad14-7c9521f86068,Colorado State University-Global Campus,"Bachelor of Science (B.S.), Information Technology",2012,2015
031004f9-1786-485e-bb0a-f081e7904af0,University of Virginia,"BS with Distinction, Biomedical Engineering",2007,2011
031a1782-543b-480d-a342-e82b80465735,Boston University,"Master of Science - MS, Computer Engineering",2019,2021
031a1782-543b-480d-a342-e82b80465735,University of Michigan,"Bachelor of Science (B.S.), Movement Science",2010,2014
031b99bc-7144-4485-8a3b-30789cd28e54,Northumbria University,Quantity Surveying,,
0328f956-029d-4962-993f-e9f9c5840a83,Northern Kentucky University,"Bachelors, Organizational Leadership",2010,2013
0328f956-029d-4962-993f-e9f9c5840a83,Northern Kentucky University,"Bachelors, Organizational Leadership",2010,2013
0331d2d8-1611-4814-9656-abf3a124f511,Point Loma Nazarene University,Accounting,2011,2015
0331d2d8-1611-4814-9656-abf3a124f511,Tesoro High School,High School,2007,2011
033d8555-62a2-486e-b501-b6009a894a9d,Bournemouth University,"Business Studies with Finance, Accounting and Business/Management",2016,2020
035ee703-9b06-4ef3-ae0e-f38b0ce29b36,UC Irvine,"BS, ICS",1999,2003
035ee703-9b06-4ef3-ae0e-f38b0ce29b36,UC Irvine,"BS, ICS",1999,2003
035ee703-9b06-4ef3-ae0e-f38b0ce29b36,University of Southern California,"Master of Science (MS), Biomedical Engineering (BME), Medical Device and Diagnostic Engineering",2016,2018
035ee703-9b06-4ef3-ae0e-f38b0ce29b36,University of Southern California,"Master of Science (MS), Biomedical Engineering (BME), Medical Device and Diagnostic Engineering",2016,2018
0363e6f2-2b1e-4d85-ba6b-57b3f77adbcc,University of Southampton,"Bachelor of Arts (BA), Archaeology",2007,2010
0363e6f2-2b1e-4d85-ba6b-57b3f77adbcc,University of Southampton,"Master of Arts (MA), Osteoarchaeology",2010,2011
036490e8-85b0-4455-8bf7-8b2e18dfac41,UC San Diego,"B.S., Bioengineering",2005,2010
036490e8-85b0-4455-8bf7-8b2e18dfac41,UC San Diego,"Master of Science (M.S.), Materials Science and Engineering",2011,2012
036490e8-85b0-4455-8bf7-8b2e18dfac41,"University of California, San Diego","Doctor of Philosophy (Ph.D.), Materials Science and Engineering",2012,2015
0366c810-d804-49af-af84-92b05d359dd6,ACCA,,2020 – 2023,
0366c810-d804-49af-af84-92b05d359dd6,Victoria College Jersey,"A-Levels, Economics, History & French",2011,2018
038105f3-d4ad-4488-80d9-00d5f34ecf61,University of Arizona,"Bachelor's degree, Bioengineering and Biomedical Engineering",2006,2010
038105f3-d4ad-4488-80d9-00d5f34ecf61,University of Arizona,"Bachelor's degree, Bioengineering and Biomedical Engineering",2006,2010
03863f06-fc67-454e-b114-4b703dd16d1b,Hillsborough Community College,"Associate of Arts, Pre-Medicine",2012,2014
03863f06-fc67-454e-b114-4b703dd16d1b,Tennessee Technological University,"General Management, Business Administration, Management and Operations",2014,2016
038d0f75-727d-4ae3-80da-72a5bd95c229,Berufsakademie Loerrach,"Bachelor's degree, Logistics, Materials, and Supply Chain Management",1995,1998
039d6ec6-3fec-4426-84a5-588552b4213b,Kirkham Grammar School,A-Levels,2010,2012
039d6ec6-3fec-4426-84a5-588552b4213b,The University of Salford,"Bachelor of Science - BSc, Quantity Surveying",2013,2018
03a0493e-fd95-43d0-8690-1eac6038256c,Ferris State University,"Bachelor of Science (B.S.), Biology, General",2007,2011
03a39801-0067-4a86-8eb0-50b5252f33d3,University of Virginia,B.S. Commerce - Finance and International Business,2005,2009
03b54818-51e2-4b8f-835e-ab72e7eb8b48,Cornell University,"HR Management Certificate , Human Resources Management/Personnel Administration, General",2017,2018
03b54818-51e2-4b8f-835e-ab72e7eb8b48,Hult International Business School,"Bachelor of Business Administration, Accounting and Finance",2010,2014
03b54818-51e2-4b8f-835e-ab72e7eb8b48,International school of choueifat,"High School Diploma, Business Administration",2006,2010
03bea0ae-8fba-42fe-89d4-ebb8cab20f86,Fayetteville-Manlius Senior High School,,,
03bea0ae-8fba-42fe-89d4-ebb8cab20f86,The University of Texas at Dallas,"Bachelor of Science (B.S.), Finance",2003,2007
03bea0ae-8fba-42fe-89d4-ebb8cab20f86,University of Colorado Boulder,Master of Business Administration (MBA),2012,2014
03c15a8f-cfaf-4c8f-83c1-7b106e571c54,Les Quennevais,,1990 – 1995,
03c15a8f-cfaf-4c8f-83c1-7b106e571c54,Les Quennevais,,1990 – 1995,
03c1fdc8-b67a-42cd-acf1-cf6f5e497913,Monash University,,2011 – 2011,
03c1fdc8-b67a-42cd-acf1-cf6f5e497913,"University of California, Santa Barbara","Bachelor of Science (BS), Mechanical Engineering",2008,2012
03cd111d-9290-4ec9-9543-672dbd09d3d4,Sinclair Community College,"Associate's degree, Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist",2015,2019
03dc118f-99da-477f-9a82-620d330375de,"University of California, Santa Cruz","Bachelor of Arts - BA, Political Science, Economics",1999,2003
03df3ffe-8c0f-4fbb-ae5c-867b5f532a99,Swinburne University of Technology,Finance,2005,2005
03df3ffe-8c0f-4fbb-ae5c-867b5f532a99,Swinburne University of Technology,Finance,2005,2005
03df3ffe-8c0f-4fbb-ae5c-867b5f532a99,Universität Bremen,"Dipl.-Kfm., BWL",2003,2009
03df3ffe-8c0f-4fbb-ae5c-867b5f532a99,Universität Bremen,"Dipl.-Kfm., BWL",2003,2009
03ed1829-d369-4b41-a422-1b4a693258c6,University of the West of England,"Bachelor of Arts (BA), Accounting and Finance",1998,2002
03ed1829-d369-4b41-a422-1b4a693258c6,University of the West of England,"Bachelor of Arts (BA), Accounting and Finance",1998,2002
